source,target,relationship,followers,platform
_ernith95,indibiz,comment,1553,instagram
chinthiaindah,indibiz,comment,870,instagram
ifiet.00,indibiz,comment,465,instagram
rstiaprilly_,indibiz,comment,1628,instagram
nouna_mir488,indibiz,comment,237,instagram
mayamilawati,indibiz,comment,1793,instagram
lany_nila14,indibiz,comment,2615,instagram
lany_nila14,indibiz,comment,2615,instagram
lany_nila14,indibiz,comment,2615,instagram
fadhilatulfitria,indibiz,comment,908,instagram
fadhilatulfitria,indibiz,comment,908,instagram
sarahlinasrg,indibiz,comment,4043,instagram
sarahlinasrg,indibiz,comment,4043,instagram
xylo_swy4,indibiz,comment,4,instagram
denisinsta_,indibiz,comment,1169,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
edoabiw,indibiz,comment,1052,instagram
edoabiw,indibiz,comment,1052,instagram
edoabiw,indibiz,comment,1052,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
saya.noer123,indibiz,comment,862,instagram
farnida.rifda,indibiz,comment,2878,instagram
farnida.rifda,indibiz,comment,2878,instagram
farnida.rifda,indibiz,comment,2878,instagram
anna.mutiara,indibiz,comment,4075,instagram
anna.mutiara,indibiz,comment,4075,instagram
anna.mutiara,indibiz,comment,4075,instagram
frayandika,indibiz,comment,474,instagram
nahdayyyyy,indibiz,comment,604,instagram
nahdayyyyy,indibiz,comment,604,instagram
nahdayyyyy,indibiz,comment,604,instagram
nahdaaaaa__,indibiz,comment,1071,instagram
nahdaaaaa__,indibiz,comment,1071,instagram
nahdaaaaa__,indibiz,comment,1071,instagram
dua_putra605,indibiz,comment,19,instagram
mom_farasfaris,indibiz,comment,1296,instagram
mom_farasfaris,indibiz,comment,1296,instagram
mom_farasfaris,indibiz,comment,1296,instagram
mom_farasfaris,indibiz,comment,1296,instagram
antonsuby8622,indibiz,comment,1321,instagram
antonsuby8622,indibiz,comment,1321,instagram
antonsuby8622,indibiz,comment,1321,instagram
aalrahman08_,indibiz,comment,9,instagram
tychy.ry,indibiz,comment,290,instagram
evalinaatri.r,indibiz,comment,1446,instagram
arilaki.due,indibiz,comment,1233,instagram
arilaki.due,indibiz,comment,1233,instagram
arilaki.due,indibiz,comment,1233,instagram
arilaki.due,indibiz,comment,1233,instagram
arianda.sin,indibiz,comment,535,instagram
arianda.sin,indibiz,comment,535,instagram
arianda.sin,indibiz,comment,535,instagram
arianda.sin,indibiz,comment,535,instagram
lia.fajriii,indibiz,comment,385,instagram
lia.fajriii,indibiz,comment,385,instagram
