rank,username,followers,platform,layanan,degree_centrality,betweenness_centrality,in_degree,out_degree,pagerank,sentiment
133,_llyakrykn_,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
134,shomaykukus,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
135,alivcnt,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
136,inhyugk,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
137,clandest11ne,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
138,cuapibara,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
139,danhengg,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
140,miltobio,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,positive
141,dvlruninmyhead,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
142,rxdbluee,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
143,hongchongi,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
144,kulogumi,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
145,lunivers_010,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
146,qinche_shin,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
147,callystamcfc,0,twitter,Telkomsel,0.0003883926094434889,3.0560757386600084e-05,5,9,0.0001324568675172531,neutral
148,undip_fess,0,unknown,Telkomsel,0.00024968096321367143,0.0,9,0,0.00013217307270766898,neutral
149,ylki_id,0,unknown,Telkomsel,0.0006103312434111968,0.0,22,0,0.00013179077904363267,neutral
150,onyourwonwoo,0,twitter,Telkomsel,0.0004993619264273429,0.0,17,1,0.00012970460015405367,neutral
151,cryn0wn,0,unknown,Telkomsel,0.0003883926094434889,0.0,14,0,0.00012922165438756294,neutral
152,namanyamanusia0,0,twitter,Telkomsel,0.0003883926094434889,0.0,13,1,0.00012899547651205978,negative
153,presidenkopi,0,unknown,Telkomsel,0.0003051656217055984,0.0,11,0,0.00012899482992415195,neutral
154,e7yyyl,0,twitter,Telkomsel,0.00016645397547578093,0.0,4,2,0.00012714269851577635,neutral
155,muncorner,0,unknown,Telkomsel,0.00022193863396770792,0.0,8,0,0.00012702397179846164,neutral
156,meutya_hafid,0,unknown,Telkomsel,0.00041613493868945236,0.0,15,0,0.00012466132550424902,neutral
157,hasyimmah,0,twitter,Telkomsel,0.0006103312434111968,6.791279419244463e-05,16,6,0.00012428525388577275,neutral
158,myersoulz,0,twitter,Telkomsel,0.00011096931698385396,2.0373838257733388e-05,3,1,0.00012352620519366953,negative
159,telkomselflash,0,unknown,Telkomsel,0.0004993619264273429,0.0,18,0,0.00012312563049666174,neutral
160,imisscoupse,0,twitter,Telkomsel,0.00013871164622981745,0.0,2,3,0.0001229656969021343,neutral
161,cintapriagepeng,0,twitter,Telkomsel,8.322698773789047e-05,2.0373838257733388e-05,2,1,0.00012110137896128036,negative
162,danawallet,0,unknown,Telkomsel,0.0008877545358708317,0.0,32,0,0.00011887485717833897,neutral
163,olivyalily,0,twitter,Telkomsel,0.0003883926094434889,2.5467297822166734e-05,10,4,0.0001185158312996226,negative
164,daegalie,0,twitter,Telkomsel,8.322698773789047e-05,0.0,1,2,0.00011808215747679953,negative
165,indopopbase,0,unknown,Telkomsel,0.00041613493868945236,0.0,15,0,0.00011727852256650462,neutral
166,cencennyy,0,unknown,Telkomsel,0.00016645397547578093,0.0,6,0,0.00011715854393505712,neutral
167,haaztoge,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00011584865981560476,negative
168,akbarfaizal68,0,unknown,Telkomsel,0.00041613493868945236,0.0,15,0,0.00011489936289723853,neutral
169,dharurf,0,twitter,Telkomsel,0.00019419630472174444,0.0,6,1,0.00011452222966827492,neutral
170,dxpaa21,0,twitter,Telkomsel,0.00041613493868945236,0.0,14,1,0.00011435837421494478,negative
171,myxlcare,0,twitter,Telkomsel,0.0009154968651167952,0.0001629907060618671,16,17,0.00011406751402574766,neutral
172,frsqqxl,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,0.00011243668657301709,negative
173,cutsarina5,0,unknown,Telkomsel,0.00024968096321367143,0.0,9,0,0.00011216231803067355,neutral
174,blxnkcanvs,0,twitter,Telkomsel,0.00011096931698385396,2.0373838257733388e-05,2,2,0.00011180560729639834,negative
175,queenypupy,0,twitter,Telkomsel,0.00044387726793541584,3.0560757386600084e-05,7,9,0.00011099594050107439,negative
176,dazdaldaldaz,0,twitter,Telkomsel,0.0004716195971813793,2.102406713829935e-05,14,3,0.00011049628202098563,negative
177,keianndt,0,twitter,Telkomsel,0.00019419630472174444,4.0747676515466776e-05,4,3,0.00011032725227285898,neutral
178,bumn_idn,0,unknown,Telkomsel,0.0006935582311490872,0.0,25,0,0.00011022214566755452,neutral
179,ugm_fess,0,unknown,Telkomsel,0.00022193863396770792,0.0,8,0,0.00011009514187152956,neutral
180,angelansel_,0,twitter,Telkomsel,0.00011096931698385396,2.0373838257733388e-05,3,1,0.00010894455428411982,positive
181,siaranbolalive,0,unknown,Telkomsel,0.00019419630472174444,0.0,7,0,0.00010849277170914852,neutral
182,savorqy,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00010814816725657375,neutral
183,lapakeunwoo,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00010814816725657375,neutral
184,sainticsm,0,twitter,Telkomsel,0.00019419630472174444,2.0373838257733388e-05,4,3,0.00010761614317174977,neutral
185,dindaprad,0,unknown,Telkomsel,0.0002774232924596349,0.0,10,0,0.00010677023604394978,neutral
186,djedkomdigi,0,twitter,Telkomsel,0.00041613493868945236,2.1674296018865307e-07,14,1,0.00010673009425012084,neutral
187,vampyrictlust,0,twitter,Telkomsel,0.00013871164622981745,0.0,4,1,0.00010659739491118513,negative
188,adenugraha999,0,twitter,Telkomsel,0.00016645397547578093,0.0,2,4,0.00010526422540542992,negative
189,narcisseuu,0,twitter,Telkomsel,0.0006103312434111968,2.0373838257733388e-05,19,3,0.00010457579264558985,neutral
190,ertigaid,0,twitter,Telkomsel,0.0007490428896410143,6.112151477320017e-05,21,6,0.00010392226518224285,neutral
191,direktoridosen,0,twitter,Telkomsel,0.0007490428896410143,2.5467297822166734e-05,21,6,0.00010296092915147342,negative
192,bpkn_ri,0,unknown,Telkomsel,0.00036065028019752535,0.0,13,0,0.00010261928339025236,neutral
193,abaining_,0,twitter,Telkomsel,0.0003883926094434889,0.0,11,3,0.00010104419213667379,negative
194,dharma_tc,0,twitter,Telkomsel,0.0002774232924596349,0.0,7,3,0.00010085131312859952,negative
