source,target,relationship,followers,platform,layanan,sentiment
22_afriadi,telkomsel,mention,0,twitter,Telkomsel,neutral
2304dotorii,elonmusk,mention,0,twitter,Telkomsel,neutral
2304dotorii,pertamina,mention,0,twitter,Telkomsel,neutral
2304dotorii,pln_123,mention,0,twitter,Telkomsel,neutral
2304dotorii,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
2304dotorii,starlink,mention,0,twitter,Telkomsel,neutral
2304dotorii,telkomindonesia,mention,0,twitter,Telkomsel,neutral
2304dotorii,telkomsel,mention,0,twitter,Telkomsel,neutral
23tutupbotol4,telkomsel,mention,0,twitter,Telkomsel,negative
2413files,telkomsel,mention,0,twitter,Telkomsel,neutral
241heart,junaamrl,mention,0,twitter,Telkomsel,neutral
241heart,telkomsel,mention,0,twitter,Telkomsel,neutral
248mkm,telkomsel,mention,0,twitter,Telkomsel,negative
24hrsofyouuu,telkomsel,mention,0,twitter,Telkomsel,neutral
24hwip,crissbahari,mention,0,twitter,Telkomsel,negative
24hwip,qrivasi,mention,0,twitter,Telkomsel,negative
24hwip,telkomsel,mention,0,twitter,Telkomsel,negative
24hwip,userxppv,mention,0,twitter,Telkomsel,negative
24jenolee,telkomsel,mention,0,twitter,Telkomsel,negative
24rosewhite,keianndt,mention,0,twitter,Telkomsel,neutral
252711_,telkomsel,mention,0,twitter,Telkomsel,negative
252ny,telkomsel,mention,0,twitter,Telkomsel,neutral
258029zip,obiwan_catnobi,retweet,0,twitter,Telkomsel,negative
25jajan,telkomsel,mention,0,twitter,Telkomsel,negative
25kmeasy,telkomsel,mention,0,twitter,Telkomsel,negative
26_fadhlanlee,arigathanks__,mention,0,twitter,Telkomsel,negative
26_fadhlanlee,indihome,mention,0,twitter,Telkomsel,negative
26_fadhlanlee,telkomsel,mention,0,twitter,Telkomsel,negative
27peachess,elonmusk,mention,0,twitter,Telkomsel,neutral
27peachess,pertamina,mention,0,twitter,Telkomsel,neutral
27peachess,pln_123,mention,0,twitter,Telkomsel,neutral
27peachess,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
27peachess,starlink,mention,0,twitter,Telkomsel,neutral
27peachess,telkomindonesia,mention,0,twitter,Telkomsel,neutral
27peachess,telkomsel,mention,0,twitter,Telkomsel,neutral
2810malikk,tanyakanrl,mention,0,twitter,Telkomsel,negative
2810malikk,telkomsel,mention,0,twitter,Telkomsel,negative
289mklee,telkomsel,mention,0,twitter,Telkomsel,neutral
