source,target,relationship,followers,platform,layanan
adeprase,@indihome,mention,0,twitter,IndiHome
indihome,@caocaa4,mention,0,twitter,IndiHome
indihome,@0xluckyyyboy666,mention,0,twitter,IndiHome
indihome,@imdongren,mention,0,twitter,IndiHome
wiigarahmwt,@indihome,mention,0,twitter,IndiHome
indihome,@08putr4,mention,0,twitter,IndiHome
indihome,@rahvvana,mention,0,twitter,IndiHome
bunnydung,@indihomecare,mention,0,twitter,IndiHome
solihinpriok,@indihome,mention,0,twitter,IndiHome
yulioadicandra,@indihome,mention,0,twitter,IndiHome
pewrety,@indihome,mention,0,twitter,IndiHome
0xluckyyyboy666,@roblox_fess,mention,0,twitter,IndiHome
mediakonsumenid,@telkomsel,mention,0,twitter,IndiHome
indihome,@ayangnyakamuu_,mention,0,twitter,IndiHome
konolen,@indihome,mention,0,twitter,IndiHome
shuvfle,@karwina21,mention,0,twitter,IndiHome
shuvfle,@talonmidnight,mention,0,twitter,IndiHome
hanifzahirulf,@indihome,mention,0,twitter,IndiHome
indihome,@ahmdtybr,mention,0,twitter,IndiHome
ulfaacantik,@indihomecare,mention,0,twitter,IndiHome
ulfaacantik,@indihome,mention,0,twitter,IndiHome
mahdamii,@rayytama,mention,0,twitter,IndiHome
indihome,@bimaksm23,mention,0,twitter,IndiHome
indihome,@rudyandre22,mention,0,twitter,IndiHome
indihome,@nsaa_95,mention,0,twitter,IndiHome
indihome,@tino_sutris,mention,0,twitter,IndiHome
marsudi__,@kompascom,mention,0,twitter,IndiHome
annisaalamsyah4,@indihome,mention,0,twitter,IndiHome
indihome,@lahkenapadah21,mention,0,twitter,IndiHome
nsaa_95,@indihomecare,mention,0,twitter,IndiHome
nsaa_95,@indihome,mention,0,twitter,IndiHome
limfosith,@indihome,mention,0,twitter,IndiHome
cornevai,@indihome,mention,0,twitter,IndiHome
in_makiy,@wedangjaehe,mention,0,twitter,IndiHome
in_makiy,@tanyakanrl,mention,0,twitter,IndiHome
indihome,@muhammadibnoe,mention,0,twitter,IndiHome
muhammadibnoe,@telkomsel,mention,0,twitter,IndiHome
muhammadibnoe,@indihome,mention,0,twitter,IndiHome
muhammadibnoe,@indihomecare,mention,0,twitter,IndiHome
zaynidpp,@indihome,mention,0,twitter,IndiHome
indihome,@luckymancool007,mention,0,twitter,IndiHome
indihome,@catatan_ali7,mention,0,twitter,IndiHome
indihome,@clearbyngsol_,mention,0,twitter,IndiHome
indihome,@messengerofdude,mention,0,twitter,IndiHome
moonphrodite,@indihome,mention,0,twitter,IndiHome
mauumakan_,@indihome,mention,0,twitter,IndiHome
mauumakan_,@indihomecare,mention,0,twitter,IndiHome
inaauliaaft,@indihome,mention,0,twitter,IndiHome
funisika,@indihome,mention,0,twitter,IndiHome
fikamshi,@justbrownnn,mention,0,twitter,IndiHome
theontohod,@masss_indihome,mention,0,twitter,IndiHome
theontohod,@itbluecorner,mention,0,twitter,IndiHome
theontohod,@lingkar_jakarta,mention,0,twitter,IndiHome
indihome,@melodymemorie,mention,0,twitter,IndiHome
raget009,@indihome,mention,0,twitter,IndiHome
indihome,@xiixiixixiixii,mention,0,twitter,IndiHome
riapratiwip,@indihome,mention,0,twitter,IndiHome
aku_unko,@telkomsel,mention,0,twitter,IndiHome
indihome,@bertabahkayl,mention,0,twitter,IndiHome
yamazaa00,@talanukara,mention,0,twitter,IndiHome
enzywey,@indihome,mention,0,twitter,IndiHome
xiixiixixiixii,@indihome,mention,0,twitter,IndiHome
bitlensama,@talonxbt,mention,0,twitter,IndiHome
bitlensama,@prabowo,mention,0,twitter,IndiHome
bitlensama,@gibran_tweet,mention,0,twitter,IndiHome
bitlensama,@starlink,mention,0,twitter,IndiHome
bitlensama,@indihome,mention,0,twitter,IndiHome
zanethyst,@indihome,mention,0,twitter,IndiHome
amidstthera1n,@zemnam,mention,0,twitter,IndiHome
01kfrizzly,@wisdom_hq,mention,0,twitter,IndiHome
santuysboys,@masss_indihome,mention,0,twitter,IndiHome
santuysboys,@fahrezaebol,mention,0,twitter,IndiHome
santuysboys,@indosfc,mention,0,twitter,IndiHome
