rank,username,followers,degree_centrality,in_degree,out_degree,is_brand
245,bugie_aryatmo,0,0.00017561318269624775,0,6,False
246,arthemians,0,0.00017561318269624775,0,6,False
247,floflorenci11,0,0.00017561318269624775,0,6,False
248,allanbim,0,0.00017561318269624775,0,6,False
249,jangdikeee,0,0.00017561318269624775,0,6,False
250,suarajurnalis,0,0.00017561318269624775,0,6,False
251,balka4k,0,0.00017561318269624775,0,6,False
252,listyaandika2,0,0.00017561318269624775,0,6,False
253,papageorgious,0,0.00017561318269624775,0,6,False
254,incomeshort,0,0.00017561318269624775,0,6,False
255,bandihulu,1908,0.00014634431891353978,0,5,False
256,hananurhan,642,0.00014634431891353978,0,5,False
257,@rolexxkushh,0,0.00014634431891353978,5,0,False
258,@indihomekti,0,0.00014634431891353978,5,0,False
259,@yusufgunawan,0,0.00014634431891353978,5,0,False
260,@indihome_care,0,0.00014634431891353978,5,0,False
261,@domicdomi,0,0.00014634431891353978,5,0,False
262,@spenubo,0,0.00014634431891353978,5,0,False
263,@kissfrombb,0,0.00014634431891353978,5,0,False
264,@rmnsck,0,0.00014634431891353978,5,0,False
265,@tvduapuluhinch,0,0.00014634431891353978,5,0,False
266,@disneyplusid,0,0.00014634431891353978,5,0,False
267,@itsmeyynnn__,0,0.00014634431891353978,5,0,False
268,@mohha_haha,0,0.00014634431891353978,5,0,False
269,@onlyxiqisss_,0,0.00014634431891353978,5,0,False
270,@rekatra_,0,0.00014634431891353978,5,0,False
271,@mthrfckrattyuu,0,0.00014634431891353978,5,0,False
272,@1,0,0.00014634431891353978,5,0,False
273,@bobb_napibadung,0,0.00014634431891353978,5,0,False
274,@harriscainee,0,0.00014634431891353978,5,0,False
275,@jingga_ch,0,0.00014634431891353978,5,0,False
276,@eventfa1,0,0.00014634431891353978,5,0,False
277,@indibiz_id,0,0.00014634431891353978,5,0,False
278,@sryhkl_,0,0.00014634431891353978,5,0,False
279,@onlyyans24k,0,0.00014634431891353978,5,0,False
280,@indosat,0,0.00014634431891353978,5,0,False
281,@smartfrenworld,0,0.00014634431891353978,5,0,False
282,@morgankatalia,0,0.00014634431891353978,5,0,False
283,@ari3pras,0,0.00014634431891353978,5,0,False
284,@oemarthadimas,0,0.00014634431891353978,5,0,False
285,@bairuindra,0,0.00014634431891353978,5,0,False
286,@cherryyaaa0808,0,0.00014634431891353978,5,0,False
287,@ahmad_salims,0,0.00014634431891353978,5,0,False
288,@andryantaya,0,0.00014634431891353978,5,0,False
289,@oneourly,0,0.00014634431891353978,5,0,False
290,@hendrycov,0,0.00014634431891353978,5,0,False
291,@anarcho_merah,0,0.00014634431891353978,5,0,False
292,@masss012,0,0.00014634431891353978,5,0,False
293,@slepyydo,0,0.00014634431891353978,5,0,False
294,@jangdikeee,0,0.00014634431891353978,5,0,False
295,@arigathanks__,0,0.00014634431891353978,5,0,False
296,@shopeeid,0,0.00014634431891353978,5,0,False
297,@nozelism,0,0.00014634431891353978,5,0,False
298,gielvandanu,0,0.00014634431891353978,3,2,False
299,syaiful_wachman,0,0.00014634431891353978,1,4,False
300,ensoleilley,0,0.00014634431891353978,0,5,False
301,achkermant,0,0.00014634431891353978,0,5,False
302,mynameisdhea_,0,0.00014634431891353978,0,5,False
303,bitlensama,0,0.00014634431891353978,0,5,False
304,sintiaaxzy_,0,0.00014634431891353978,0,5,False
