source,target,relationship,followers,platform
indihome,@dismantlepoop,mention,0,twitter
indaaah823,@indihome,mention,0,twitter
dhanirinjani,@picxen_,mention,0,twitter
adefirdaus8656,@indihomecare,mention,0,twitter
adefirdaus8656,@indihome,mention,0,twitter
pakrtgalau,@naevizs,mention,0,twitter
nurkhalidahrs_,@indihome,mention,0,twitter
tidakpunyauang,@indihomecare,mention,0,twitter
tidakpunyauang,@telkomjabar,mention,0,twitter
ciamovick,@indihome,mention,0,twitter
scarxmouche,@indihome,mention,0,twitter
celsarchives,@indihomecare,mention,0,twitter
celsarchives,@indihome,mention,0,twitter
bunnydung,@indihome,mention,0,twitter
cumolonimlust,@indihome,mention,0,twitter
fadli8830,@indihomecare,mention,0,twitter
fadli8830,@indihome,mention,0,twitter
s1nyorita,@indihome,mention,0,twitter
febybdn,@indihome,mention,0,twitter
kittyyeo0,@indihome,mention,0,twitter
indihome,@ch33zee,mention,0,twitter
indihome,@s1nyorita,mention,0,twitter
indihome,@jhafifah_,mention,0,twitter
s1nyorita,@indihomecare,mention,0,twitter
ch33zee,@indihome,mention,0,twitter
akunantekasing,@indihomecare,mention,0,twitter
soullyyou,@indihome,mention,0,twitter
dindrhms,@indihomecare,mention,0,twitter
indihome,@erykhadianp,mention,0,twitter
overlytrusting,@indihome,mention,0,twitter
jhafifah_,@indihome,mention,0,twitter
jhafifah_,@indihomecare,mention,0,twitter
indihome,@kvnbhgs,mention,0,twitter
xxavell17_,@indihome,mention,0,twitter
younievers,@indihome,mention,0,twitter
indihome,@pakrtgalau,mention,0,twitter
indihome,@m_hidayat183,mention,0,twitter
indihome,@telkomjabar,mention,0,twitter
fenny_thejo,@indihome,mention,0,twitter
heymarkudut,@indihome,mention,0,twitter
marshmangow,@indihome,mention,0,twitter
indihome,@marshmangow,mention,0,twitter
indihome,@tomylim5,mention,0,twitter
marshmangow,@indihomecare,mention,0,twitter
brokreasi,@id_myrepublic,mention,0,twitter
luckymancool007,@catatan_ali7,mention,0,twitter
luckymancool007,@indihome,mention,0,twitter
luckymancool007,@indihomecare,mention,0,twitter
indihome,@ledoirejorie,mention,0,twitter
serizawa_dhinar,@indihome,mention,0,twitter
indihome,@dumbfaalief,mention,0,twitter
indihome,@shuvfle,mention,0,twitter
dumbfaalief,@indihome,mention,0,twitter
dumbfaalief,@indihomecare,mention,0,twitter
indihome,@beariesjourn,mention,0,twitter
indihome,@ynriptr,mention,0,twitter
adeprase,@indihome,mention,0,twitter
indihome,@caocaa4,mention,0,twitter
indihome,@0xluckyyyboy666,mention,0,twitter
indihome,@imdongren,mention,0,twitter
wiigarahmwt,@indihome,mention,0,twitter
indihome,@08putr4,mention,0,twitter
indihome,@rahvvana,mention,0,twitter
bunnydung,@indihomecare,mention,0,twitter
solihinpriok,@indihome,mention,0,twitter
yulioadicandra,@indihome,mention,0,twitter
pewrety,@indihome,mention,0,twitter
0xluckyyyboy666,@roblox_fess,mention,0,twitter
mediakonsumenid,@telkomsel,mention,0,twitter
indihome,@ayangnyakamuu_,mention,0,twitter
konolen,@indihome,mention,0,twitter
shuvfle,@karwina21,mention,0,twitter
shuvfle,@talonmidnight,mention,0,twitter
hanifzahirulf,@indihome,mention,0,twitter
indihome,@ahmdtybr,mention,0,twitter
ulfaacantik,@indihomecare,mention,0,twitter
ulfaacantik,@indihome,mention,0,twitter
mahdamii,@rayytama,mention,0,twitter
indihome,@bimaksm23,mention,0,twitter
indihome,@rudyandre22,mention,0,twitter
indihome,@nsaa_95,mention,0,twitter
indihome,@tino_sutris,mention,0,twitter
marsudi__,@kompascom,mention,0,twitter
annisaalamsyah4,@indihome,mention,0,twitter
indihome,@lahkenapadah21,mention,0,twitter
nsaa_95,@indihomecare,mention,0,twitter
nsaa_95,@indihome,mention,0,twitter
limfosith,@indihome,mention,0,twitter
cornevai,@indihome,mention,0,twitter
in_makiy,@wedangjaehe,mention,0,twitter
in_makiy,@tanyakanrl,mention,0,twitter
indihome,@muhammadibnoe,mention,0,twitter
muhammadibnoe,@telkomsel,mention,0,twitter
muhammadibnoe,@indihome,mention,0,twitter
muhammadibnoe,@indihomecare,mention,0,twitter
